Project,Group,Key,Issuetype,Status,Created Date,Component,Category,First Date,Closed Date,Open,In Spec,Ready for Dev,In Dev,Ready for Test,In Test,On Hold,Resolved,Closed,Resolution 
Shared Test, Integration and Delivery Porsche Connect,,STID-700,Feature,Resolved,18.01.2021 09:40:02,CC-HelpDesk​|,,28.01.2021 13:58:18,10.02.2021 13:34:33,0,33354,0,0,0,0,0,738659,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-699,Feature,Resolved,14.01.2021 10:53:37,Automatisierungsplattform & Continuous Integration|,,14.01.2021 10:57:46,11.02.2021 19:18:28,0,4,0,40820,0,0,0,736875,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-698,Feature,Resolved,14.01.2021 10:15:12,Automatisierungsplattform & Continuous Integration|,,14.01.2021 10:34:44,01.02.2021 11:14:15,0,19,0,25958,0,0,0,751759,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-697,Feature,Resolved,14.01.2021 10:08:36,Automatisierungsplattform & Continuous Integration|,,14.01.2021 10:09:03,11.02.2021 11:18:36,0,0,25979,14409,0,0,0,737355,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-694,Feature,Resolved,13.01.2021 09:13:05,Fahrzeuginbetriebnahme & CC-Fahrzeugflotte​|Testinfrastruktur|,,17.02.2021 11:19:05,22.03.2021 11:12:37,0,50529,12793,34716,0,0,0,681201,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-693,Feature,Resolved,12.01.2021 17:41:18,Automatisierungsplattform & Continuous Integration|,,12.01.2021 17:41:31,12.01.2021 17:44:30,0,1,0,0,0,0,0,780169,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-692,Feature,Resolved,16.12.2020 11:15:21,Teststrategie, -prozesse, -tools​|,,26.07.2021 18:07:03,26.07.2021 18:07:03,0,320091,0,0,0,0,0,499347,0,Declined 
Shared Test, Integration and Delivery Porsche Connect,,STID-691,Feature,Resolved,15.12.2020 18:04:58,Teststrategie, -prozesse, -tools​|,,16.02.2021 09:54:08,08.04.2021 14:15:23,0,91681,11783,35627,0,0,24178,657196,0,Done 
Shared Test, Integration and Delivery Porsche Connect,,STID-690,Feature,Open,03.12.2020 13:53:27,,,,,838000,0,0,0,0,0,0,0, 
Shared Test, Integration and Delivery Porsche Connect,,STID-689,Feature,Resolved,26.11.2020 14:50:53,Teststrategie, -prozesse, -tools​|,,16.02.2021 09:55:51,06.05.2021 14:32:19,0,118062,12979,90524,0,0,10253,616201,0,Done 
